
       Ecm (MeV)    Sigma (mb)   S(E) (Mev x barn)
--------------------------------------------------------
        0.50000    0.66074E-34    0.14861E+18
        0.55000    0.20561E-31    0.14556E+18
        0.60000    0.30503E-29    0.14245E+18
        0.65000    0.24968E-27    0.13937E+18
        0.70000    0.12567E-25    0.13633E+18
        0.75000    0.42250E-24    0.13332E+18
        0.80000    0.10117E-22    0.13036E+18
        0.85000    0.18153E-21    0.12745E+18
        0.90000    0.25425E-20    0.12459E+18
        0.95000    0.28733E-19    0.12179E+18
        1.00000    0.26926E-18    0.11904E+18
        1.05000    0.21399E-17    0.11635E+18
        1.10000    0.14697E-16    0.11368E+18
        1.15000    0.88610E-16    0.11100E+18
        1.20000    0.47540E-15    0.10830E+18
        1.25000    0.22966E-14    0.10559E+18
        1.30000    0.10097E-13    0.10292E+18
        1.35000    0.40770E-13    0.10034E+18
        1.40000    0.15239E-12    0.97843E+17
        1.45000    0.53072E-12    0.95412E+17
        1.50000    0.17317E-11    0.93009E+17
        1.55000    0.53220E-11    0.90624E+17
        1.60000    0.15480E-10    0.88281E+17
        1.65000    0.42807E-10    0.86002E+17
        1.70000    0.11297E-09    0.83788E+17
        1.75000    0.28542E-09    0.81621E+17
        1.80000    0.69235E-09    0.79484E+17
        1.85000    0.16169E-08    0.77378E+17
        1.90000    0.36452E-08    0.75318E+17
        1.95000    0.79523E-08    0.73311E+17
        2.00000    0.16822E-07    0.71356E+17
        2.05000    0.34565E-07    0.69439E+17
        2.10000    0.69099E-07    0.67553E+17
        2.15000    0.13462E-06    0.65702E+17
        2.20000    0.25599E-06    0.63893E+17
        2.25000    0.47581E-06    0.62130E+17
        2.30000    0.86549E-06    0.60409E+17
        2.35000    0.15423E-05    0.58723E+17
        2.40000    0.26952E-05    0.57068E+17
        2.45000    0.46235E-05    0.55445E+17
        2.50000    0.77935E-05    0.53859E+17
        2.55000    0.12921E-04    0.52311E+17
        2.60000    0.21084E-04    0.50800E+17
        2.65000    0.33886E-04    0.49321E+17
        2.70000    0.53676E-04    0.47870E+17
        2.75000    0.83850E-04    0.46448E+17
        2.80000    0.12927E-03    0.45058E+17
        2.85000    0.19678E-03    0.43699E+17
        2.90000    0.29597E-03    0.42373E+17
        2.95000    0.44001E-03    0.41076E+17
        3.00000    0.64686E-03    0.39805E+17
        3.05000    0.94077E-03    0.38561E+17
        3.10000    0.13542E-02    0.37344E+17
        3.15000    0.19301E-02    0.36155E+17
        3.20000    0.27249E-02    0.34996E+17
        3.25000    0.38122E-02    0.33864E+17
        3.30000    0.52866E-02    0.32761E+17
        3.35000    0.72691E-02    0.31684E+17
        3.40000    0.99138E-02    0.30634E+17
        3.45000        0.01341    0.29612E+17
        3.50000        0.01802    0.28619E+17
        3.55000        0.02402    0.27656E+17
        3.60000        0.03181    0.26723E+17
        3.65000        0.04185    0.25820E+17
        3.70000        0.05470    0.24947E+17
        3.75000        0.07105    0.24104E+17
        3.80000        0.09176    0.23291E+17
        3.85000        0.11784    0.22509E+17
        3.90000        0.15053    0.21758E+17
        3.95000        0.19131    0.21039E+17
        4.00000        0.24196    0.20350E+17
        4.05000        0.30459    0.19692E+17
        4.10000        0.38171    0.19063E+17
        4.15000        0.47631    0.18462E+17
        4.20000        0.59192    0.17890E+17
        4.25000        0.73271    0.17344E+17
        4.30000        0.90360    0.16826E+17
        4.35000        1.11031    0.16332E+17
        4.40000        1.35955    0.15863E+17
        4.45000        1.65905    0.15416E+17
        4.50000        2.01777    0.14989E+17
        4.55000        2.44601    0.14581E+17
        4.60000        2.95554    0.14190E+17
        4.65000        3.55979    0.13814E+17
        4.70000        4.27388    0.13452E+17
        4.75000        5.11477    0.13101E+17
        4.80000        6.10120    0.12760E+17
        4.85000        7.25370    0.12426E+17
        4.90000        8.59449    0.12097E+17
        4.95000       10.14733    0.11772E+17
        5.00000       11.93733    0.11447E+17
        5.05000       13.99055    0.11122E+17
        5.10000       16.33360    0.10794E+17
        5.15000       18.99298    0.10463E+17
        5.20000       21.99435    0.10128E+17
        5.25000       25.36176    0.97866E+16
        5.30000       29.11690    0.94399E+16
        5.35000       33.27837    0.90874E+16
        5.40000       37.86120    0.87293E+16
        5.45000       42.87640    0.83665E+16
        5.50000       48.33065    0.80001E+16
        5.55000       54.22611    0.76316E+16
        5.60000       60.56034    0.72627E+16
        5.65000       67.32631    0.68950E+16
        5.70000       74.51271    0.65304E+16
        5.75000       82.10435    0.61707E+16
        5.80000       90.08285    0.58178E+16
        5.85000       98.42731    0.54731E+16
        5.90000      107.11504    0.51383E+16
        5.95000      116.12220    0.48146E+16
        6.00000      125.42422    0.45030E+16
        6.05000      134.99618    0.42046E+16
        6.10000      144.81301    0.39197E+16
        6.15000      154.84974    0.36490E+16
        6.20000      165.08168    0.33924E+16
        6.25000      175.48465    0.31502E+16
        6.30000      186.03529    0.29220E+16
        6.35000      196.71121    0.27078E+16
        6.40000      207.49118    0.25071E+16
        6.45000      218.35518    0.23195E+16
        6.50000      229.28440    0.21444E+16
        6.55000      240.26114    0.19815E+16
        6.60000      251.26874    0.18299E+16
        6.65000      262.29150    0.16893E+16
        6.70000      273.31462    0.15589E+16
        6.75000      284.32423    0.14381E+16
        6.80000      295.30743    0.13264E+16
        6.85000      306.25228    0.12231E+16
        6.90000      317.14789    0.11278E+16
        6.95000      327.98438    0.10397E+16
        7.00000      338.75419    0.95857E+15
        7.05000      349.44816    0.88374E+15
        7.10000      360.05886    0.81479E+15
        7.15000      370.58010    0.75128E+15
        7.20000      381.00622    0.69280E+15
        7.25000      391.33217    0.63896E+15
        7.30000      401.55347    0.58941E+15
        7.35000      411.66625    0.54382E+15
        7.40000      421.66722    0.50186E+15
        7.45000      431.55364    0.46325E+15
        7.50000      441.32337    0.42773E+15
        7.55000      450.97476    0.39505E+15
        7.60000      460.50668    0.36497E+15
        7.65000      469.91839    0.33729E+15
        7.70000      479.20952    0.31182E+15
        7.75000      488.38000    0.28837E+15
        7.80000      497.43000    0.26678E+15
        7.85000      506.35986    0.24689E+15
        7.90000      515.17011    0.22858E+15
        7.95000      523.86139    0.21171E+15
        8.00000      532.43449    0.19616E+15
        8.05000      540.89031    0.18183E+15
        8.10000      549.22986    0.16862E+15
        8.15000      557.45428    0.15643E+15
        8.20000      565.56481    0.14518E+15
        8.25000      573.56279    0.13480E+15
        8.30000      581.44963    0.12521E+15
        8.35000      589.22683    0.11636E+15
        8.40000      596.89594    0.10818E+15
        8.45000      604.45855    0.10062E+15
        8.50000      611.91627    0.93631E+14
        8.55000      619.27071    0.87165E+14
        8.60000      626.52352    0.81181E+14
        8.65000      633.67632    0.75641E+14
        8.70000      640.73075    0.70511E+14
        8.75000      647.68844    0.65758E+14
        8.80000      654.55105    0.61353E+14
        8.85000      661.32021    0.57268E+14
        8.90000      667.99758    0.53478E+14
        8.95000      674.58480    0.49962E+14
        9.00000      681.08349    0.46697E+14
        9.05000      687.49524    0.43665E+14
        9.10000      693.82156    0.40847E+14
        9.15000      700.06389    0.38228E+14
        9.20000      706.22353    0.35792E+14
        9.25000      712.30164    0.33526E+14
        9.30000      718.29919    0.31417E+14
        9.35000      724.21699    0.29452E+14
        9.40000      730.05566    0.27623E+14
        9.45000      735.81566    0.25918E+14
        9.50000      741.49732    0.24328E+14
        9.55000      747.10086    0.22845E+14
        9.60000      752.62650    0.21461E+14
        9.65000      758.07442    0.20169E+14
        9.70000      763.44489    0.18962E+14
        9.75000      768.73829    0.17834E+14
        9.80000      773.95513    0.16781E+14
        9.85000      779.09611    0.15795E+14
        9.90000      784.16209    0.14873E+14
        9.95000      789.15409    0.14010E+14
